['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
['3', '5000', 'carro']['3', '1']
